Generated by Rfunction:  Gera.mw41.edt.skewT.func2 
============> Radisonde_info:
RS_type:        RS41-SGP
RS_config:      -32768
RS_serialnum:   X1422247
RS_freq:        405
RS__windtype:   ccGPS
=============> Station_info:
Station:        HUBV_RS41SGP
Latitude:       39.0563
Longitude:      -76.8755
Altitude:       52.3
SW version:     MW41 2.15.0
Start time:     2025-06-23 06:45:05
=============> Variables & units - Vaisala EDT
NA_numeric value:  -9999
NA_string:  xx or NA
-----------------------------
	  Variable       Unit
	      time        sec
	        xx         NA
	        Ta          K
	        RH          %
	   v(S->N)        m/s
	   u(E->W)        m/s
	    Height          m
	     press        hPa
	        Td          K
	        MR       g/Kg
	        DD        dgr
	        FF        m/s
	Ascend_FLG  (0-N,1-Y)
	        xx         NA
	        xx         NA
	       Lon        dgr
	       Lat        dgr
	        xx         NA
	        xx         NA
	        xx         NA
=============> Data:
3051.59  -9999.    217.06    32.41    -13.93      1.79      12497.5    198.74    208.10     0.03     352.66     14.05 1  -9999.  -9999.   -76.8523    38.8292  -9999.  -9999.  -9999.
3052.59  -9999.    217.02    32.53    -13.90      1.79      12502.2    198.61    208.09     0.03     352.66     14.02 1  -9999.  -9999.   -76.8523    38.8291  -9999.  -9999.  -9999.
3053.59  -9999.    216.98    32.63    -13.88      1.79      12506.9    198.48    208.08     0.03     352.67     13.99 1  -9999.  -9999.   -76.8523    38.8289  -9999.  -9999.  -9999.
3054.59  -9999.    216.94    32.72    -13.85      1.78      12511.1    198.34    208.06     0.03     352.68     13.97 1  -9999.  -9999.   -76.8523    38.8288  -9999.  -9999.  -9999.
3055.59  -9999.    216.90    32.77    -13.83      1.77      12515.4    198.21    208.04     0.03     352.69     13.94 1  -9999.  -9999.   -76.8523    38.8287  -9999.  -9999.  -9999.
3056.59  -9999.    216.86    32.81    -13.80      1.77      12519.6    198.08    208.01     0.03     352.71     13.92 1  -9999.  -9999.   -76.8522    38.8286  -9999.  -9999.  -9999.
3057.59  -9999.    216.83    32.84    -13.78      1.76      12523.8    197.95    207.99     0.03     352.73     13.89 1  -9999.  -9999.   -76.8522    38.8284  -9999.  -9999.  -9999.
3058.59  -9999.    216.80    32.88    -13.75      1.75      12528.0    197.82    207.97     0.03     352.76     13.86 1  -9999.  -9999.   -76.8522    38.8283  -9999.  -9999.  -9999.
3059.59  -9999.    216.77    32.94    -13.72      1.74      12532.2    197.68    207.96     0.03     352.79     13.83 1  -9999.  -9999.   -76.8522    38.8282  -9999.  -9999.  -9999.
3060.59  -9999.    216.74    33.03    -13.69      1.72      12535.5    197.55    207.95     0.03     352.83     13.79 1  -9999.  -9999.   -76.8521    38.8281  -9999.  -9999.  -9999.
3061.59  -9999.    216.70    33.13    -13.65      1.71      12541.5    197.42    207.94     0.03     352.87     13.76 1  -9999.  -9999.   -76.8521    38.8280  -9999.  -9999.  -9999.
3062.59  -9999.    216.66    33.25    -13.61      1.69      12544.6    197.28    207.93     0.03     352.91     13.72 1  -9999.  -9999.   -76.8521    38.8278  -9999.  -9999.  -9999.
3063.59  -9999.    216.62    33.37    -13.58      1.68      12549.3    197.15    207.92     0.03     352.94     13.69 1  -9999.  -9999.   -76.8521    38.8277  -9999.  -9999.  -9999.
3064.59  -9999.    216.58    33.51    -13.55      1.67      12553.9    197.02    207.92     0.03     352.98     13.66 1  -9999.  -9999.   -76.8521    38.8276  -9999.  -9999.  -9999.
3065.59  -9999.    216.54    33.67    -13.52      1.66      12558.6    196.89    207.92     0.03     353.01     13.63 1  -9999.  -9999.   -76.8521    38.8275  -9999.  -9999.  -9999.
3066.59  -9999.    216.51    33.85    -13.49      1.65      12561.1    196.76    207.93     0.03     353.04     13.59 1  -9999.  -9999.   -76.8521    38.8273  -9999.  -9999.  -9999.
3067.59  -9999.    216.47    34.05    -13.46      1.64      12565.9    196.63    207.94     0.03     353.07     13.56 1  -9999.  -9999.   -76.8521    38.8272  -9999.  -9999.  -9999.
3068.59  -9999.    216.43    34.26    -13.43      1.63      12570.2    196.51    207.95     0.03     353.09     13.53 1  -9999.  -9999.   -76.8520    38.8271  -9999.  -9999.  -9999.
3069.59  -9999.    216.40    34.46    -13.40      1.62      12574.5    196.38    207.96     0.03     353.10     13.50 1  -9999.  -9999.   -76.8520    38.8270  -9999.  -9999.  -9999.
3070.59  -9999.    216.37    34.64    -13.36      1.62      12577.7    196.25    207.97     0.03     353.10     13.46 1  -9999.  -9999.   -76.8520    38.8269  -9999.  -9999.  -9999.
3071.59  -9999.    216.32    34.83    -13.32      1.61      12582.7    196.13    207.97     0.03     353.09     13.42 1  -9999.  -9999.   -76.8519    38.8267  -9999.  -9999.  -9999.
3072.59  -9999.    216.27    35.06    -13.28      1.62      12586.6    196.01    207.97     0.03     353.06     13.38 1  -9999.  -9999.   -76.8519    38.8266  -9999.  -9999.  -9999.
3073.59  -9999.    216.23    35.32    -13.24      1.62      12591.1    195.89    208.00     0.03     353.01     13.33 1  -9999.  -9999.   -76.8519    38.8265  -9999.  -9999.  -9999.
3074.59  -9999.    216.20    35.61    -13.19      1.63      12593.4    195.77    208.03     0.03     352.95     13.29 1  -9999.  -9999.   -76.8519    38.8264  -9999.  -9999.  -9999.
3075.59  -9999.    216.18    35.90    -13.14      1.65      12597.2    195.65    208.07     0.03     352.85     13.25 1  -9999.  -9999.   -76.8519    38.8263  -9999.  -9999.  -9999.
3076.59  -9999.    216.16    36.17    -13.10      1.67      12600.9    195.52    208.11     0.03     352.74     13.20 1  -9999.  -9999.   -76.8519    38.8261  -9999.  -9999.  -9999.
3077.59  -9999.    216.12    36.43    -13.05      1.70      12606.5    195.40    208.12     0.03     352.60     13.16 1  -9999.  -9999.   -76.8519    38.8260  -9999.  -9999.  -9999.
3078.59  -9999.    216.07    36.67    -13.00      1.73      12609.7    195.28    208.13     0.03     352.43     13.12 1  -9999.  -9999.   -76.8519    38.8259  -9999.  -9999.  -9999.
3079.59  -9999.    216.04    36.89    -12.96      1.76      12613.3    195.16    208.14     0.03     352.26     13.08 1  -9999.  -9999.   -76.8519    38.8258  -9999.  -9999.  -9999.
3080.59  -9999.    216.00    37.09    -12.92      1.80      12617.5    195.03    208.15     0.03     352.07     13.04 1  -9999.  -9999.   -76.8518    38.8257  -9999.  -9999.  -9999.
3081.59  -9999.    215.96    37.26    -12.88      1.84      12621.7    194.90    208.14     0.03     351.87     13.01 1  -9999.  -9999.   -76.8518    38.8255  -9999.  -9999.  -9999.
3082.59  -9999.    215.92    37.42    -12.84      1.88      12625.9    194.78    208.14     0.03     351.66     12.98 1  -9999.  -9999.   -76.8518    38.8254  -9999.  -9999.  -9999.
3083.59  -9999.    215.88    37.55    -12.81      1.93      12630.1    194.65    208.13     0.03     351.43     12.95 1  -9999.  -9999.   -76.8517    38.8253  -9999.  -9999.  -9999.
3084.59  -9999.    215.84    37.68    -12.77      1.98      12634.3    194.53    208.12     0.03     351.17     12.92 1  -9999.  -9999.   -76.8517    38.8252  -9999.  -9999.  -9999.
3085.59  -9999.    215.82    37.81    -12.73      2.04      12638.8    194.40    208.13     0.03     350.88     12.89 1  -9999.  -9999.   -76.8517    38.8251  -9999.  -9999.  -9999.
3086.59  -9999.    215.78    37.95    -12.69      2.11      12642.5    194.28    208.12     0.03     350.58     12.87 1  -9999.  -9999.   -76.8517    38.8249  -9999.  -9999.  -9999.
3087.59  -9999.    215.74    38.10    -12.66      2.17      12646.3    194.16    208.12     0.03     350.26     12.84 1  -9999.  -9999.   -76.8516    38.8248  -9999.  -9999.  -9999.
3088.59  -9999.    215.71    38.27    -12.62      2.24      12650.0    194.04    208.12     0.03     349.94     12.82 1  -9999.  -9999.   -76.8516    38.8247  -9999.  -9999.  -9999.
3089.59  -9999.    215.67    38.44    -12.59      2.31      12653.7    193.92    208.12     0.03     349.62     12.80 1  -9999.  -9999.   -76.8516    38.8246  -9999.  -9999.  -9999.
3090.59  -9999.    215.63    38.61    -12.56      2.37      12657.5    193.81    208.12     0.03     349.32     12.78 1  -9999.  -9999.   -76.8516    38.8245  -9999.  -9999.  -9999.
3091.59  -9999.    215.60    38.75    -12.53      2.43      12661.2    193.69    208.11     0.03     349.02     12.76 1  -9999.  -9999.   -76.8515    38.8244  -9999.  -9999.  -9999.
3092.59  -9999.    215.56    38.86    -12.50      2.49      12665.4    193.58    208.10     0.03     348.75     12.75 1  -9999.  -9999.   -76.8515    38.8243  -9999.  -9999.  -9999.
3093.59  -9999.    215.53    38.94    -12.47      2.55      12669.6    193.47    208.08     0.03     348.45     12.73 1  -9999.  -9999.   -76.8515    38.8242  -9999.  -9999.  -9999.
3094.59  -9999.    215.51    38.99    -12.44      2.62      12671.7    193.36    208.07     0.03     348.11     12.72 1  -9999.  -9999.   -76.8515    38.8241  -9999.  -9999.  -9999.
3095.59  -9999.    215.48    39.03    -12.41      2.69      12675.1    193.24    208.06     0.03     347.75     12.70 1  -9999.  -9999.   -76.8514    38.8240  -9999.  -9999.  -9999.
3096.59  -9999.    215.46    39.07    -12.38      2.76      12679.3    193.13    208.04     0.03     347.42     12.69 1  -9999.  -9999.   -76.8514    38.8239  -9999.  -9999.  -9999.
3097.59  -9999.    215.43    39.13    -12.35      2.83      12683.5    193.01    208.03     0.03     347.08     12.67 1  -9999.  -9999.   -76.8514    38.8238  -9999.  -9999.  -9999.
3098.59  -9999.    215.40    39.21    -12.32      2.91      12687.8    192.89    208.02     0.03     346.72     12.66 1  -9999.  -9999.   -76.8513    38.8237  -9999.  -9999.  -9999.
3099.59  -9999.    215.38    39.31    -12.29      2.99      12690.3    192.77    208.02     0.03     346.32     12.65 1  -9999.  -9999.   -76.8513    38.8235  -9999.  -9999.  -9999.
3100.59  -9999.    215.35    39.44    -12.25      3.08      12694.1    192.65    208.01     0.03     345.89     12.64 1  -9999.  -9999.   -76.8512    38.8234  -9999.  -9999.  -9999.
3101.59  -9999.    215.31    39.57    -12.22      3.16      12699.2    192.52    208.01     0.03     345.48     12.62 1  -9999.  -9999.   -76.8512    38.8233  -9999.  -9999.  -9999.
3102.59  -9999.    215.28    39.69    -12.19      3.24      12704.0    192.39    208.00     0.03     345.12     12.61 1  -9999.  -9999.   -76.8512    38.8232  -9999.  -9999.  -9999.
3103.59  -9999.    215.25    39.80    -12.16      3.31      12708.7    192.26    207.99     0.03     344.78     12.60 1  -9999.  -9999.   -76.8512    38.8231  -9999.  -9999.  -9999.
3104.59  -9999.    215.22    39.89    -12.13      3.37      12713.5    192.13    207.98     0.03     344.45     12.59 1  -9999.  -9999.   -76.8511    38.8229  -9999.  -9999.  -9999.
3105.59  -9999.    215.20    39.98    -12.09      3.44      12716.1    192.00    207.98     0.03     344.10     12.57 1  -9999.  -9999.   -76.8511    38.8228  -9999.  -9999.  -9999.
3106.59  -9999.    215.17    40.09    -12.06      3.52      12720.3    191.88    207.98     0.03     343.75     12.56 1  -9999.  -9999.   -76.8511    38.8227  -9999.  -9999.  -9999.
3107.59  -9999.    215.14    40.22    -12.02      3.59      12724.6    191.75    207.97     0.03     343.39     12.55 1  -9999.  -9999.   -76.8510    38.8226  -9999.  -9999.  -9999.
3108.59  -9999.    215.11    40.36    -11.99      3.66      12728.9    191.63    207.97     0.03     343.03     12.53 1  -9999.  -9999.   -76.8510    38.8225  -9999.  -9999.  -9999.
3109.59  -9999.    215.09    40.49    -11.95      3.73      12733.2    191.51    207.97     0.03     342.66     12.52 1  -9999.  -9999.   -76.8509    38.8224  -9999.  -9999.  -9999.
3110.59  -9999.    215.06    40.60    -11.91      3.81      12737.5    191.38    207.97     0.03     342.28     12.50 1  -9999.  -9999.   -76.8509    38.8223  -9999.  -9999.  -9999.
3111.59  -9999.    215.05    40.67    -11.86      3.88      12740.8    191.26    207.97     0.03     341.87     12.48 1  -9999.  -9999.   -76.8508    38.8222  -9999.  -9999.  -9999.
3112.59  -9999.    215.03    40.71    -11.82      3.96      12744.3    191.14    207.96     0.03     341.47     12.47 1  -9999.  -9999.   -76.8508    38.8221  -9999.  -9999.  -9999.
3113.59  -9999.    215.00    40.70    -11.78      4.03      12748.4    191.02    207.93     0.03     341.10     12.45 1  -9999.  -9999.   -76.8508    38.8220  -9999.  -9999.  -9999.
3114.59  -9999.    214.97    40.66    -11.74      4.10      12752.6    190.90    207.89     0.03     340.75     12.44 1  -9999.  -9999.   -76.8507    38.8219  -9999.  -9999.  -9999.
3115.59  -9999.    214.94    40.60    -11.70      4.16      12756.7    190.79    207.86     0.03     340.41     12.42 1  -9999.  -9999.   -76.8507    38.8218  -9999.  -9999.  -9999.
3116.59  -9999.    214.92    40.52    -11.66      4.23      12760.9    190.67    207.82     0.03     340.06     12.41 1  -9999.  -9999.   -76.8507    38.8217  -9999.  -9999.  -9999.
3117.59  -9999.    214.89    40.44    -11.62      4.30      12765.0    190.55    207.78     0.03     339.69     12.39 1  -9999.  -9999.   -76.8506    38.8216  -9999.  -9999.  -9999.
3118.59  -9999.    214.88    40.38    -11.58      4.38      12767.8    190.43    207.75     0.03     339.30     12.38 1  -9999.  -9999.   -76.8506    38.8215  -9999.  -9999.  -9999.
3119.59  -9999.    214.86    40.33    -11.54      4.45      12771.2    190.31    207.73     0.03     338.89     12.37 1  -9999.  -9999.   -76.8505    38.8214  -9999.  -9999.  -9999.
3120.59  -9999.    214.84    40.31    -11.49      4.53      12775.4    190.20    207.70     0.03     338.47     12.36 1  -9999.  -9999.   -76.8504    38.8213  -9999.  -9999.  -9999.
3121.59  -9999.    214.80    40.28    -11.45      4.62      12780.9    190.07    207.66     0.03     338.05     12.35 1  -9999.  -9999.   -76.8504    38.8212  -9999.  -9999.  -9999.
3122.59  -9999.    214.77    40.26    -11.41      4.70      12783.0    189.95    207.63     0.03     337.63     12.34 1  -9999.  -9999.   -76.8503    38.8211  -9999.  -9999.  -9999.
3123.59  -9999.    214.75    40.22    -11.38      4.78      12788.0    189.83    207.61     0.03     337.21     12.34 1  -9999.  -9999.   -76.8503    38.8210  -9999.  -9999.  -9999.
3124.59  -9999.    214.73    40.18    -11.35      4.86      12793.1    189.71    207.58     0.03     336.81     12.35 1  -9999.  -9999.   -76.8502    38.8209  -9999.  -9999.  -9999.
3125.59  -9999.    214.70    40.13    -11.32      4.95      12795.9    189.59    207.55     0.03     336.41     12.36 1  -9999.  -9999.   -76.8502    38.8208  -9999.  -9999.  -9999.
3126.59  -9999.    214.67    40.10    -11.30      5.03      12801.1    189.47    207.51     0.03     336.01     12.37 1  -9999.  -9999.   -76.8501    38.8207  -9999.  -9999.  -9999.
3127.59  -9999.    214.65    40.08    -11.28      5.11      12803.5    189.35    207.48     0.03     335.63     12.39 1  -9999.  -9999.   -76.8501    38.8206  -9999.  -9999.  -9999.
3128.59  -9999.    214.62    40.10    -11.27      5.19      12808.2    189.23    207.46     0.03     335.25     12.41 1  -9999.  -9999.   -76.8500    38.8205  -9999.  -9999.  -9999.
3129.59  -9999.    214.60    40.13    -11.26      5.28      12812.4    189.11    207.45     0.03     334.89     12.44 1  -9999.  -9999.   -76.8500    38.8204  -9999.  -9999.  -9999.
3130.59  -9999.    214.58    40.18    -11.26      5.36      12815.6    188.99    207.44     0.03     334.54     12.47 1  -9999.  -9999.   -76.8499    38.8203  -9999.  -9999.  -9999.
3131.59  -9999.    214.56    40.22    -11.26      5.44      12818.9    188.87    207.43     0.03     334.20     12.51 1  -9999.  -9999.   -76.8499    38.8202  -9999.  -9999.  -9999.
3132.59  -9999.    214.53    40.25    -11.27      5.52      12824.4    188.75    207.40     0.03     333.88     12.55 1  -9999.  -9999.   -76.8498    38.8201  -9999.  -9999.  -9999.
3133.59  -9999.    214.50    40.23    -11.28      5.60      12827.9    188.62    207.37     0.03     333.58     12.60 1  -9999.  -9999.   -76.8497    38.8200  -9999.  -9999.  -9999.
3134.59  -9999.    214.47    40.15    -11.30      5.68      12832.4    188.50    207.33     0.03     333.30     12.65 1  -9999.  -9999.   -76.8497    38.8199  -9999.  -9999.  -9999.
3135.59  -9999.    214.44    39.99    -11.32      5.76      12836.4    188.37    207.27     0.03     333.04     12.70 1  -9999.  -9999.   -76.8496    38.8198  -9999.  -9999.  -9999.
3136.59  -9999.    214.44    39.73    -11.35      5.83      12841.7    188.25    207.22     0.03     332.80     12.76 1  -9999.  -9999.   -76.8495    38.8197  -9999.  -9999.  -9999.
3137.59  -9999.    214.47    39.40    -11.39      5.90      12844.8    188.13    207.19     0.03     332.59     12.82 1  -9999.  -9999.   -76.8494    38.8196  -9999.  -9999.  -9999.
3138.59  -9999.    214.51    38.99    -11.43      5.97      12847.9    188.01    207.15     0.03     332.41     12.89 1  -9999.  -9999.   -76.8494    38.8195  -9999.  -9999.  -9999.
3139.59  -9999.    214.56    38.53    -11.47      6.04      12852.7    187.89    207.10     0.03     332.25     12.96 1  -9999.  -9999.   -76.8493    38.8194  -9999.  -9999.  -9999.
3140.59  -9999.    214.59    38.03    -11.52      6.10      12857.8    187.77    207.03     0.03     332.12     13.04 1  -9999.  -9999.   -76.8493    38.8193  -9999.  -9999.  -9999.
3141.59  -9999.    214.59    37.49    -11.58      6.15      12860.6    187.65    206.93     0.03     332.02     13.11 1  -9999.  -9999.   -76.8492    38.8192  -9999.  -9999.  -9999.
3142.59  -9999.    214.58    36.93    -11.64      6.20      12863.7    187.54    206.81     0.03     331.95     13.19 1  -9999.  -9999.   -76.8491    38.8191  -9999.  -9999.  -9999.
3143.59  -9999.    214.59    36.36    -11.71      6.25      12868.8    187.42    206.70     0.03     331.91     13.27 1  -9999.  -9999.   -76.8490    38.8190  -9999.  -9999.  -9999.
3144.59  -9999.    214.59    35.79    -11.78      6.29      12872.2    187.30    206.58     0.03     331.90     13.35 1  -9999.  -9999.   -76.8490    38.8189  -9999.  -9999.  -9999.
3145.59  -9999.    214.58    35.22    -11.85      6.32      12875.7    187.18    206.45     0.03     331.92     13.43 1  -9999.  -9999.   -76.8489    38.8188  -9999.  -9999.  -9999.
3146.59  -9999.    214.56    34.66    -11.93      6.35      12880.8    187.07    206.31     0.03     331.97     13.52 1  -9999.  -9999.   -76.8488    38.8187  -9999.  -9999.  -9999.
3147.59  -9999.    214.55    34.08    -12.02      6.37      12884.3    186.95    206.18     0.03     332.05     13.60 1  -9999.  -9999.   -76.8487    38.8186  -9999.  -9999.  -9999.
3148.59  -9999.    214.55    33.51    -12.11      6.39      12887.9    186.83    206.05     0.02     332.16     13.69 1  -9999.  -9999.   -76.8486    38.8185  -9999.  -9999.  -9999.
